RA_1,DEC_1,KsApermag1,KsApermag1_Err,KsApermag3,KsApermag3_Err,mjd,fits,ra_2,dec_2,GroupID,GroupSize,Separation
123.84703,-38.989796,11.871621,0.00399,11.850519,0.002656,58598.05525308,ADP.2021-03-12T18_13_03.989.fits,123.84703,-38.9898,1,30,0.012598242200503542
123.84703,-38.9898,11.896269,0.003896,11.904007,0.002691,58598.08383007,ADP.2021-03-12T18_13_04.063.fits,123.84703,-38.9898,1,30,0.00180175781063412
123.847046,-38.98979,11.898232,0.002279,11.872417,0.002037,58602.03373018,ADP.2021-03-12T18_13_09.101.fits,123.84703,-38.9898,1,30,0.05633718416538379
123.84703,-38.989803,11.88343,0.002561,11.855636,0.002106,58471.22509764,ADP.2021-03-12T18_13_32.548.fits,123.84703,-38.9898,1,30,0.012601757807537368
123.84703,-38.989784,12.016247,0.002313,11.954815,0.002085,58478.23087341,ADP.2021-03-12T18_13_35.077.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.84703,-38.989784,11.861635,0.002484,11.869107,0.002201,58488.10103592,ADP.2021-03-12T18_13_38.815.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.84703,-38.989784,11.898203,0.00251,11.86964,0.00214,58506.29759229,ADP.2021-03-12T18_13_52.634.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.847046,-38.98979,11.853777,0.002673,11.870542,0.002324,58507.0512901,ADP.2021-03-12T18_13_53.194.fits,123.84703,-38.9898,1,30,0.05633718416538379
123.84703,-38.9898,11.861585,0.003087,11.87329,0.002432,58508.05279636,ADP.2021-03-12T18_13_53.828.fits,123.84703,-38.9898,1,30,0.00180175781063412
123.84703,-38.989784,11.883483,0.002279,11.87519,0.002182,58520.04256638,ADP.2021-03-12T18_13_56.375.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.847046,-38.98978,11.810814,0.003359,11.829965,0.002457,58525.19152875,ADP.2021-03-12T18_13_56.904.fits,123.84703,-38.9898,1,30,0.08325954622945358
123.847015,-38.9898,11.898579,0.002831,11.879554,0.002264,58577.12807034,ADP.2021-03-12T18_15_03.789.fits,123.84703,-38.9898,1,30,0.042010586099855446
123.84703,-38.989784,11.944383,0.002347,11.907016,0.002075,58533.1085406,ADP.2021-03-12T18_15_09.913.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.84703,-38.9898,11.836231,0.00226,11.870359,0.002029,58585.11478558,ADP.2021-03-12T18_15_12.741.fits,123.84703,-38.9898,1,30,0.00180175781063412
123.847046,-38.989784,11.909441,0.002558,11.877,0.00213,58534.11529434,ADP.2021-03-12T18_15_13.186.fits,123.84703,-38.9898,1,30,0.07153881849524671
123.847046,-38.989796,11.860412,0.002419,11.883047,0.002131,58534.25588481,ADP.2021-03-12T18_15_13.535.fits,123.84703,-38.9898,1,30,0.046508860307878486
123.847046,-38.989784,11.850181,0.002474,11.857357,0.002136,58535.01943312,ADP.2021-03-12T18_15_15.908.fits,123.84703,-38.9898,1,30,0.07153881849524671
123.84703,-38.98979,11.901766,0.002253,11.873203,0.002033,58535.2432734,ADP.2021-03-12T18_15_17.404.fits,123.84703,-38.9898,1,30,0.03419824219431004
123.847046,-38.989784,12.012328,0.002372,11.962428,0.002145,58544.16953068,ADP.2021-03-12T18_15_27.283.fits,123.84703,-38.9898,1,30,0.07153881849524671
123.84703,-38.98979,11.937627,0.002246,11.874671,0.002011,58544.21108506,ADP.2021-03-12T18_15_27.380.fits,123.84703,-38.9898,1,30,0.03419824219431004
123.847046,-38.98979,11.905732,0.002483,11.88327,0.002145,58545.21515688,ADP.2021-03-12T18_15_29.107.fits,123.84703,-38.9898,1,30,0.05633718416538379
123.84703,-38.989784,11.96872,0.002371,11.923211,0.002099,58552.1149304,ADP.2021-03-12T18_15_33.543.fits,123.84703,-38.9898,1,30,0.05579824218811654
123.84703,-38.9898,11.860192,0.002349,11.854561,0.002063,58558.04775097,ADP.2021-03-12T18_15_42.836.fits,123.84703,-38.9898,1,30,0.00180175781063412
123.84703,-38.98978,11.913323,0.00274,11.886726,0.002349,58211.08067025,ADP.2021-03-12T18_15_43.446.fits,123.84703,-38.9898,1,30,0.0701982421763542
123.84703,-38.98978,11.913034,0.002772,11.904081,0.002349,58211.15272227,ADP.2021-03-12T18_15_43.585.fits,123.84703,-38.9898,1,30,0.0701982421763542
123.847046,-38.989784,11.856438,0.002845,11.859762,0.00225,58559.04901698,ADP.2021-03-12T18_15_44.905.fits,123.84703,-38.9898,1,30,0.07153881849524671
123.84706,-38.98979,11.811368,0.002383,11.856355,0.002087,58560.02758058,ADP.2021-03-12T18_15_46.871.fits,123.84703,-38.9898,1,30,0.09064266548246373
123.84703,-38.989796,11.929713,0.002574,11.90237,0.00244,58232.06590585,ADP.2021-03-12T18_16_13.096.fits,123.84703,-38.9898,1,30,0.012598242200503542
123.847046,-38.98979,12.041522,0.002532,12.025904,0.002508,58194.12956065,ADP.2021-09-23T09_43_10.834.fits,123.84703,-38.9898,1,30,0.05633718416538379
123.847046,-38.98979,11.995026,0.002766,11.930512,0.002472,58198.18736038,ADP.2021-09-23T09_43_11.874.fits,123.84703,-38.9898,1,30,0.05633718416538379
