ra,dec,ks_apermag3,ks_apermag3_err,mjd,fits
113.142136,-20.013575,12.24,0.004,58205.05859153,ADP.2021-09-23T09_43_15.788.fits
113.142136,-20.013586,12.258,0.004,58205.05894682,ADP.2021-09-23T09_43_15.789.fits
113.142136,-20.013582,12.267,0.003,58205.05818472,ADP.2021-09-23T09_43_15.793.fits
113.14212,-20.013586,12.248,0.003,58469.1532886,ADP.2021-03-12T18_13_30.917.fits
113.14212,-20.013588,12.241,0.003,58469.15366365,ADP.2021-03-12T18_13_30.918.fits
113.14212,-20.013588,12.26,0.003,58469.15283403,ADP.2021-03-12T18_13_30.924.fits
113.142136,-20.013588,12.241,0.003,58470.14611576,ADP.2021-03-12T18_13_31.698.fits
113.14212,-20.013586,12.233,0.003,58470.14649524,ADP.2021-03-12T18_13_31.700.fits
113.142136,-20.013586,12.266,0.003,58470.14572184,ADP.2021-03-12T18_13_31.703.fits
113.142136,-20.013586,12.229,0.003,58480.26260501,ADP.2021-03-12T18_13_36.791.fits
113.142136,-20.013577,12.24,0.003,58480.26303091,ADP.2021-03-12T18_13_36.792.fits
113.142136,-20.013584,12.247,0.003,58480.26215311,ADP.2021-03-12T18_13_36.797.fits
113.14212,-20.013584,12.239,0.003,58488.08757352,ADP.2021-03-12T18_13_38.769.fits
113.142136,-20.013586,12.276,0.004,58488.0879489,ADP.2021-03-12T18_13_38.770.fits
113.14212,-20.013586,12.273,0.003,58488.08716287,ADP.2021-03-12T18_13_38.777.fits
113.142136,-20.01359,12.239,0.003,58489.09119013,ADP.2021-03-12T18_13_40.343.fits
113.142136,-20.013575,12.234,0.004,58489.09155368,ADP.2021-03-12T18_13_40.344.fits
113.142136,-20.013584,12.263,0.003,58489.09079002,ADP.2021-03-12T18_13_40.349.fits
113.14212,-20.013588,12.218,0.004,58490.08771618,ADP.2021-03-12T18_13_42.009.fits
113.14212,-20.013594,12.144,0.004,58490.08810203,ADP.2021-03-12T18_13_42.010.fits
113.142136,-20.01359,12.263,0.003,58490.08732106,ADP.2021-03-12T18_13_42.013.fits
113.14212,-20.013597,12.256,0.003,58491.06831159,ADP.2021-03-12T18_13_42.655.fits
113.142136,-20.013582,12.251,0.003,58491.06866258,ADP.2021-03-12T18_13_42.657.fits
113.14212,-20.013588,12.263,0.003,58491.06793043,ADP.2021-03-12T18_13_42.663.fits
113.14212,-20.013584,12.262,0.004,58504.06974312,ADP.2021-03-12T18_13_50.516.fits
113.14212,-20.013586,12.241,0.004,58504.0693794,ADP.2021-03-12T18_13_50.518.fits
113.14212,-20.013586,12.268,0.003,58504.06898549,ADP.2021-03-12T18_13_50.521.fits
113.14212,-20.01359,12.284,0.007,58505.06042959,ADP.2021-03-12T18_13_51.121.fits
113.142136,-20.013588,12.244,0.006,58505.06005857,ADP.2021-03-12T18_13_51.125.fits
113.142136,-20.01359,12.249,0.004,58505.05964495,ADP.2021-03-12T18_13_51.131.fits
113.142136,-20.013592,12.241,0.003,58505.08881579,ADP.2021-03-12T18_13_51.192.fits
113.142136,-20.013575,12.245,0.004,58505.0891693,ADP.2021-03-12T18_13_51.193.fits
113.142136,-20.013586,12.254,0.003,58505.08838278,ADP.2021-03-12T18_13_51.197.fits
113.142136,-20.013584,12.224,0.003,58465.24108554,ADP.2021-03-12T18_14_31.096.fits
113.14212,-20.013584,12.238,0.003,58465.23895674,ADP.2021-03-12T18_14_31.099.fits
113.142136,-20.013586,12.247,0.003,58465.23856031,ADP.2021-03-12T18_14_31.101.fits
113.14212,-20.013586,12.272,0.003,58467.15688352,ADP.2021-03-12T18_14_31.312.fits
113.142136,-20.013588,12.246,0.003,58467.15723957,ADP.2021-03-12T18_14_31.313.fits
113.14212,-20.013588,12.26,0.003,58467.15652566,ADP.2021-03-12T18_14_31.318.fits
113.14212,-20.013588,12.234,0.003,58585.01917399,ADP.2021-03-12T18_15_12.498.fits
113.142136,-20.013588,12.236,0.004,58585.01953351,ADP.2021-03-12T18_15_12.499.fits
113.14212,-20.013588,12.258,0.003,58585.01877604,ADP.2021-03-12T18_15_12.503.fits
113.142136,-20.013588,12.249,0.003,58586.07824837,ADP.2021-03-12T18_15_18.464.fits
113.14212,-20.013584,12.266,0.003,58586.0786816,ADP.2021-03-12T18_15_18.466.fits
113.14212,-20.013586,12.273,0.003,58586.07784018,ADP.2021-03-12T18_15_18.469.fits
113.14212,-20.013584,12.249,0.003,58587.04142984,ADP.2021-03-12T18_15_24.187.fits
113.14212,-20.01359,12.252,0.003,58587.04179401,ADP.2021-03-12T18_15_24.188.fits
113.14212,-20.01359,12.265,0.003,58587.04103099,ADP.2021-03-12T18_15_24.192.fits
113.142136,-20.013586,12.26,0.004,58591.01710815,ADP.2021-03-12T18_15_32.538.fits
113.14212,-20.013578,12.23,0.003,58591.01747162,ADP.2021-03-12T18_15_32.540.fits
113.14212,-20.013586,12.257,0.003,58591.0166955,ADP.2021-03-12T18_15_32.544.fits
